iter	Passed	Remaining
582	2958	2116
583	2962	2110
584	2966	2104
585	2970	2098
586	2974	2092
587	2978	2087
588	2983	2081
589	2987	2076
590	2991	2070
591	2995	2064
592	2999	2058
593	3003	2052
594	3007	2047
595	3011	2041
596	3015	2035
597	3020	2030
598	3024	2024
599	3028	2019
600	3033	2013
601	3036	2007
602	3041	2002
603	3045	1996
604	3049	1991
605	3054	1985
606	3057	1979
607	3062	1974
608	3066	1968
609	3070	1963
610	3075	1957
611	3079	1952
612	3084	1947
613	3088	1941
614	3092	1935
615	3096	1930
616	3100	1924
617	3104	1919
618	3109	1913
619	3113	1908
620	3117	1902
621	3122	1897
622	3126	1891
623	3130	1886
624	3135	1881
625	3139	1875
626	3144	1870
627	3148	1864
628	3152	1859
629	3156	1853
630	3160	1848
631	3164	1842
632	3168	1837
633	3172	1831
634	3176	1826
635	3181	1820
636	3185	1815
637	3190	1810
638	3194	1804
639	3198	1799
640	3202	1793
641	3206	1788
642	3211	1782
643	3215	1777
644	3219	1771
645	3223	1766
646	3227	1760
647	3231	1755
648	3235	1749
649	3239	1744
650	3243	1738
651	3247	1733
652	3252	1728
653	3256	1722
654	3260	1717
655	3265	1712
656	3269	1706
657	3274	1702
658	3279	1696
659	3283	1691
660	3288	1686
661	3292	1680
662	3296	1675
663	3300	1670
664	3304	1664
665	3309	1659
666	3313	1654
667	3317	1648
668	3322	1643
669	3325	1638
670	3329	1632
671	3334	1627
672	3338	1621
673	3341	1616
674	3346	1611
675	3350	1605
676	3354	1600
677	3359	1595
678	3363	1589
679	3367	1584
680	3371	1579
681	3376	1574
682	3380	1568
683	3384	1563
684	3388	1558
685	3392	1552
686	3397	1547
687	3401	1542
688	3405	1537
689	3409	1531
690	3413	1526
691	3417	1521
692	3422	1515
693	3426	1510
694	3430	1505
695	3434	1500
696	3439	1495
697	3443	1490
698	3448	1484
699	3452	1479
700	3457	1474
701	3461	1469
702	3465	1464
703	3470	1459
704	3474	1453
705	3479	1448
706	3483	1443
707	3487	1438
708	3492	1433
709	3496	1428
710	3501	1423
711	3505	1418
712	3510	1413
713	3514	1407
714	3518	1402
715	3523	1397
716	3528	1392
717	3532	1387
718	3537	1382
719	3541	1377
720	3545	1372
721	3550	1367
722	3555	1362
723	3560	1357
724	3565	1352
725	3569	1347
726	3573	1342
727	3578	1336
728	3582	1331
729	3586	1326
730	3591	1321
731	3596	1316
732	3600	1311
733	3605	1306
734	3609	1301
735	3614	1296
736	3619	1291
737	3623	1286
738	3628	1281
